Player,Maps,Rounds,K-D Diff,K/D,Rating1.0,deaths,kills,abates_por_rounds,mortes_por_rounds,classificacao,dano_por_round,rounds_vivo_vitoria,clutchs_ganhos,grau_consistencia
faveN,1236,32883,1696,1.08,1.04,21199.99999999998,22895.99999999998,0.6962868351427783,0.6447100325396096,1.04,78.0,57.39123850933646,3.0,5.500000000000001
Calyx,999,25948,1569,1.1,1.04,15689.999999999985,17258.999999999985,0.6651379682441801,0.6046708802219819,1.04,78.0,62.44604341010347,3.0,5.4999999999999964
zehN,801,21430,980,1.07,1.04,13999.999999999987,14979.999999999987,0.6990200653289774,0.6532897806812873,1.04,78.0,56.30807489463612,3.0,5.5000000000000036
dennyslaw,869,23610,1310,1.09,1.04,14555.555555555542,15865.555555555542,0.6719845639794808,0.616499599981175,1.04,78.0,60.952708333120725,3.0,5.499999999999996
Maka,1139,29618,1658,1.09,1.04,18422.222222222204,20080.222222222204,0.6779736046398205,0.621994132697083,1.04,78.0,60.259042526225784,3.0,5.4999999999999964
jks,1245,32749,1718,1.08,1.04,21474.99999999998,23192.99999999998,0.7082048306818524,0.6557452135943077,1.04,78.0,55.99808495719241,3.0,5.678126807830503
HObbit,1264,33286,1645,1.08,1.04,20562.49999999998,22207.49999999998,0.6671723847863962,0.617752208135552,1.04,78.0,60.79457087338489,3.0,5.499999999999998
acoR,922,24094,1343,1.09,1.04,14922.222222222208,16265.222222222208,0.6750735545041175,0.6193335362423096,1.04,78.0,60.59493365328721,3.0,5.499999999999998
stavn,1162,30744,1396,1.07,1.04,19942.857142857127,21338.857142857127,0.6940820043864535,0.6486747704546294,1.04,78.0,56.890704020391354,3.0,5.500000000000001
tabseN,1693,44827,964,1.03,1.04,32133.333333333303,33097.3333333333,0.7383347833522944,0.7168298867498004,1.04,78.0,48.286355628392506,3.0,6.274991474326601
iDISBALANCE,815,21057,1414,1.11,1.04,12854.545454545443,14268.545454545443,0.6776153039153461,0.610464237761573,1.04,78.0,61.71465199974817,3.0,5.499999999999998
paz,741,19632,821,1.06,1.04,13683.333333333321,14504.333333333321,0.7388107851127405,0.6969913067101325,1.04,78.0,50.79090794291847,3.0,6.284104754071752
suNny,923,24540,789,1.05,1.04,15779.999999999985,16568.999999999985,0.675183374083129,0.6430317848410751,1.04,78.0,57.603111493658304,3.0,5.4999999999999964
